,recall_1,recall_1,prec_1,prec_1,f1_1,f1_1,bal_acc,bal_acc,acc,acc,ap,ap,roc_auc,roc_auc,thr,thr
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
label,,,,,,,,,,,,,,,,
Full (60),1.0,0.0,0.8571428571428571,0.0,0.9230769230769231,0.0,0.9285714285714286,0.0,0.9230769230769231,0.0,0.9837301587301589,0.0,0.9841269841269842,0.0,0.0999999999999999,0.0
No Adv (42),0.22222222222222224,0.0,0.8,0.0,0.3478260869565217,0.0,0.5873015873015872,0.0,0.6153846153846154,0.0,0.6887126072621198,0.0,0.7208994708994709,0.0,0.08,0.0
No Perk (27),1.0,0.0,0.782608695652174,0.0,0.878048780487805,0.0,0.880952380952381,0.0,0.8717948717948719,0.0,0.9822368762319744,0.0,0.984126984126984,0.0,0.0849999999999999,0.0
