,recall_1,recall_1,prec_1,prec_1,f1_1,f1_1,bal_acc,bal_acc,acc,acc,ap,ap,roc_auc,roc_auc,thr,thr
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
label,,,,,,,,,,,,,,,,
Full (60),1.0,0.0,0.8571428571428571,0.0,0.9230769230769232,0.0,0.9285714285714285,0.0,0.9230769230769232,0.0,0.9837301587301588,0.0,0.9841269841269842,0.0,0.09999999999999991,0.0
No Adv (42),0.2222222222222222,0.0,0.8000000000000002,0.0,0.3478260869565217,0.0,0.5873015873015872,0.0,0.6153846153846154,0.0,0.6887126072621198,0.0,0.720899470899471,0.0,0.08,0.0
No Perk (27),1.0,0.0,0.782608695652174,0.0,0.8780487804878049,0.0,0.8809523809523809,0.0,0.8717948717948718,0.0,0.9822368762319744,0.0,0.9841269841269839,0.0,0.0849999999999999,0.0
