name,label,thr,acc,bal_acc,f1_1,recall_1,prec_1,ap,roc_auc
full,Full (60),0.09999999999999999,0.9230769230769231,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
no_perk,No Perk (27),0.08499999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.9841269841269841
no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.34782608695652173,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
