,acc,acc,acc,bal_acc,bal_acc,bal_acc,f1_1,f1_1,f1_1,prec_1,prec_1,prec_1,recall_1,recall_1,recall_1
label,Full (60),No Adv (42),No Perk (27),Full (60),No Adv (42),No Perk (27),Full (60),No Adv (42),No Perk (27),Full (60),No Adv (42),No Perk (27),Full (60),No Adv (42),No Perk (27)
date,,,,,,,,,,,,,,,
20251231,0.9230769230769232,0.6153846153846154,0.8717948717948718,0.9285714285714286,0.5873015873015872,0.8809523809523809,0.9230769230769232,0.3478260869565217,0.8780487804878049,0.8571428571428571,0.8,0.782608695652174,1.0,0.2222222222222222,1.0
20260101,0.9230769230769232,0.6153846153846154,0.8717948717948718,0.9285714285714286,0.5873015873015872,0.8809523809523809,0.9230769230769232,0.3478260869565217,0.8780487804878049,0.8571428571428571,0.8,0.782608695652174,1.0,0.2222222222222222,1.0
20260102,0.9230769230769232,0.6153846153846154,0.8717948717948718,0.9285714285714286,0.5873015873015872,0.8809523809523809,0.9230769230769232,0.3478260869565217,0.8780487804878049,0.8571428571428571,0.8,0.782608695652174,1.0,0.2222222222222222,1.0
20260103,0.9230769230769232,0.6153846153846154,0.8717948717948718,0.9285714285714286,0.5873015873015872,0.8809523809523809,0.9230769230769232,0.3478260869565217,0.8780487804878049,0.8571428571428571,0.8,0.782608695652174,1.0,0.2222222222222222,1.0
