date,name,label,thr,acc,bal_acc,f1_1,recall_1,prec_1,ap,roc_auc
20260101,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260101,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260101,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
20260102,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260102,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260102,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
20260103,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260103,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260103,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
20260105,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260105,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260105,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
20260106,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260106,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260106,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
20260107,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260107,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260107,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
20260108,full,Full (60),0.0999999999999999,0.9230769230769232,0.9285714285714286,0.9230769230769232,1.0,0.8571428571428571,0.9837301587301588,0.9841269841269842
20260108,no_perk,No Perk (27),0.0849999999999999,0.8717948717948718,0.8809523809523809,0.8780487804878049,1.0,0.782608695652174,0.9822368762319744,0.984126984126984
20260108,no_adv,No Adv (42),0.08,0.6153846153846154,0.5873015873015872,0.3478260869565217,0.2222222222222222,0.8,0.6887126072621198,0.7208994708994709
